"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3369278,"December 4, 2025",Kentucky,Louisville,"9000 block of Red Deer Cir",0,0,1,0,0,N/A
3369254,"December 4, 2025",Maryland,"Temple Hills","1141 Southern Ave",0,1,0,0,0,N/A
3369251,"December 4, 2025",Georgia,Atlanta,"400 17th St NW",0,1,0,0,0,N/A
3369246,"December 4, 2025",Maryland,Baltimore,"3500 block of Liberty Heights Ave",0,1,0,0,0,N/A
3369196,"December 4, 2025",Georgia,Decatur,"3700 Flat Shoals Rd",0,1,0,0,0,N/A
3369831,"December 4, 2025",Maryland,Annapolis,"1000 block of Madison St",0,1,0,0,0,N/A
3368579,"December 3, 2025",Georgia,Savannah,"12006 Middleground Rd",1,0,0,0,1,N/A
3368883,"December 3, 2025",Delaware,Wilmington,"12th St and Washington St",0,1,0,0,0,N/A
3370253,"December 3, 2025",California,Pomona,"CA-60 and S Reservoir St",0,1,0,0,0,N/A
3368638,"December 3, 2025",Ohio,Cincinnati,"1000 block of Rutledge Ave",0,2,0,0,0,N/A
3368835,"December 3, 2025",California,Chico,"1267 Warner St",1,0,1,0,0,N/A
3369120,"December 3, 2025",California,"Apple Valley","21500 block of Laguna Rd",0,2,0,0,0,N/A
3368918,"December 3, 2025",Florida,"Winter Park","1000 Holt Ave",0,0,0,0,1,N/A
3368454,"December 3, 2025",Mississippi,Wesson,"JJ Ln NE",1,0,0,0,1,N/A
3368213,"December 3, 2025",Missouri,"Kansas City","E 25th St and Hardesty Ave",1,0,0,0,0,N/A
3368341,"December 3, 2025",Nebraska,Omaha,"3030 Ames Ave",0,4,1,0,0,N/A
3368584,"December 3, 2025",Ohio,"Youngstown (Austintown)","1001 Compass W Dr",0,2,0,0,1,N/A
3369076,"December 3, 2025",Minnesota,"Minneapolis (Bloomington)","Old Shakopee Rd and Killebrew Dr",0,0,0,1,1,N/A
3369658,"December 3, 2025",Arizona,Buckeye,"W Sundance Pkwy S and S 219th Ln",0,0,0,0,1,N/A
3369127,"December 3, 2025",California,Victorville,"12500 block of Bermuda Ct",0,0,1,0,0,N/A
3369203,"December 3, 2025",Delaware,Newark,"1901 S College Ave",0,0,0,0,1,N/A
3368744,"December 3, 2025",Pennsylvania,Philadelphia,"3400 block of Hartville St",1,0,1,0,0,N/A
3368944,"December 3, 2025",Arkansas,"Fort Smith (Bonanza)","1100 block of 1st Ave",1,0,0,0,0,N/A
3368992,"December 3, 2025",Louisiana,"Baton Rouge","7800 block of Scenic Hwy",1,0,0,0,0,N/A
3368254,"December 3, 2025","North Carolina",Greensboro,"1000 block of W Barton St",1,0,0,0,0,N/A
3368193,"December 3, 2025",California,Modesto,"2700 Riverpark Dr",1,1,0,0,0,N/A
3368964,"December 3, 2025",California,"Los Angeles","3158 Durand Dr",1,0,0,0,0,N/A
3368416,"December 3, 2025",California,"South Gate","3700 block of Tweedy Blvd",1,0,0,0,0,N/A
3368419,"December 3, 2025",California,"Van Nuys (Lake Balboa)","17257 Valerio St",0,0,1,0,0,N/A
3368248,"December 3, 2025",Alabama,Birmingham,"700 block of Gene Road Rd",0,2,0,0,0,N/A
3368938,"December 3, 2025",California,"South Gate","3300 block of Southern Ave",1,0,0,0,0,N/A
3368234,"December 3, 2025",Alabama,Mobile,"Princeton Woods Dr E and Princeton Woods Blvd",0,1,0,0,0,N/A
3368222,"December 3, 2025",Alabama,Dothan,"800 block of Tacoma St",0,1,0,0,0,N/A
3368476,"December 3, 2025",Florida,Longwood,"1700 block of Rutledge Rd",0,0,1,0,0,N/A
3368216,"December 3, 2025",Alabama,Birmingham,"3225 Avenue S",0,1,0,0,0,N/A
3368931,"December 3, 2025",Colorado,Greeley,"4200 block of Grand Teton Rd",0,0,1,0,0,N/A
3368888,"December 3, 2025",Maryland,Baltimore,"5900 block of Belair Rd",1,0,0,0,0,N/A
3368190,"December 3, 2025",Maryland,"Oxon Hill","101 MGM National Ave",1,1,0,0,1,N/A
3368960,"December 3, 2025",Arkansas,"Pine Bluff","Barrow Dr",0,2,0,0,0,N/A
3368842,"December 3, 2025",Virginia,Richmond,"1664 Henrico Arms Pl",0,1,0,0,0,N/A
3368850,"December 3, 2025",Missouri,"Saint Louis","12400 block of Horizon Village Dr",2,0,0,0,0,N/A
3368674,"December 3, 2025","South Carolina",Greenville,"Augusta Rd and Bracken Rd",1,0,0,0,1,N/A
3368827,"December 3, 2025",Washington,Kennewick,"1114 W 10th Ave",1,0,0,0,0,N/A
3368803,"December 3, 2025","New Jersey",Elizabeth,"Maple Ave",0,1,0,0,1,N/A
3368173,"December 3, 2025",Nebraska,Omaha,N/A,0,1,0,0,0,N/A
3368614,"December 3, 2025",Michigan,"Sterling Heights","44000 block of Apple Blossom Dr",0,0,1,0,0,N/A
3369301,"December 3, 2025",Illinois,Chicago,"10700 block of S Wentworth Ave",0,1,0,0,0,N/A
3368734,"December 3, 2025",Kentucky,Madisonville,"I-69 and KY-70",0,0,1,0,0,N/A
3368726,"December 3, 2025",Kentucky,Louisville,"600 block of E Oak St",1,0,0,0,0,N/A
3369250,"December 3, 2025",Maryland,Baltimore,"400 block of N Glover St",0,1,0,0,0,N/A
3369230,"December 3, 2025",Maryland,Essex,"900 block of Holgate Dr",0,0,1,0,0,N/A
3368715,"December 3, 2025",Tennessee,Memphis,"Raleigh Millington Rd and Gibbs Pkwy",0,0,0,1,1,N/A
3369226,"December 3, 2025",Georgia,Acworth,"2891 Mars Hill Rd",0,0,0,0,1,N/A
3368587,"December 3, 2025",Georgia,Hinesville,"Memorial Dr and S Main St",1,0,0,0,3,N/A
3368690,"December 3, 2025",Tennessee,Nashville,"2521 Nolensville Pike",1,0,0,0,0,N/A
